
timestamp,run_name,checkpoint_name,checkpoint_step,method,budget_type,budget,overall_accuracy,top_1_shape_accuracy,top_1_accuracy,top_1_pixel_correctness,top_2_shape_accuracy,top_2_accuracy,top_2_pixel_correctness,subspace_enabled,subspace_dim,ga_step_length,trust_region_radius
2025-08-25 14:20:07,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,0,0.65,0.65,0.0,0.2143,0.65,0.0,0.2143,False,,,
2025-08-25 14:23:33,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,10,0.75,0.75,0.0,0.2409,0.75,0.0,0.245,False,,,
2025-08-25 14:26:59,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,20,0.75,0.75,0.0,0.2939,0.75,0.0,0.3066,False,,,
2025-08-25 14:30:31,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,30,0.7,0.7,0.0,0.2381,0.7,0.0,0.2912,False,,,
2025-08-25 14:33:58,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,40,0.7,0.7,0.0,0.2393,0.7,0.0,0.3118,False,,,
2025-08-25 14:37:31,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,50,0.7,0.7,0.0,0.2627,0.7,0.0,0.3104,False,,,
2025-08-25 14:41:04,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,60,0.7,0.7,0.0,0.3109,0.7,0.0,0.3115,False,,,
2025-08-25 14:44:36,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,70,0.7,0.7,0.0,0.2637,0.7,0.0,0.3116,False,,,
2025-08-25 14:48:11,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,80,0.7,0.7,0.0,0.2637,0.7,0.0,0.2639,False,,,
2025-08-25 14:51:48,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,90,0.7,0.7,0.0,0.2611,0.7,0.0,0.2637,False,,,
2025-08-25 14:55:24,e2zys3l4,grateful-haze-204--checkpoint:v1,1,gradient_ascent,budget,100,0.7,0.7,0.0,0.2625,0.7,0.0,0.2627,False,,,
2025-08-25 14:58:18,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,0,0.55,0.55,0.0,0.1637,0.55,0.0,0.166,True,32,0.5,
2025-08-25 15:01:40,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,10,0.6,0.6,0.0,0.1692,0.6,0.0,0.1788,True,32,0.5,
2025-08-25 15:05:11,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,20,0.6,0.6,0.0,0.1784,0.6,0.0,0.1786,True,32,0.5,
2025-08-25 15:08:57,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,30,0.65,0.65,0.0,0.1764,0.65,0.0,0.1855,True,32,0.5,
2025-08-25 15:12:55,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,40,0.65,0.65,0.0,0.1945,0.65,0.0,0.1955,True,32,0.5,
2025-08-25 15:17:04,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,50,0.65,0.65,0.0,0.195,0.65,0.0,0.1975,True,32,0.5,
2025-08-25 15:21:11,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,60,0.6,0.6,0.0,0.2101,0.6,0.0,0.2379,True,32,0.5,
2025-08-25 15:25:33,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,70,0.65,0.65,0.0,0.2765,0.65,0.0,0.2783,True,32,0.5,
2025-08-25 15:29:57,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,80,0.7,0.7,0.0,0.2652,0.7,0.0,0.2685,True,32,0.5,
2025-08-25 15:34:28,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,90,0.7,0.7,0.0,0.2469,0.7,0.0,0.2655,True,32,0.5,
2025-08-25 15:39:02,e2zys3l4,grateful-haze-204--checkpoint:v2,2,evolutionary_search,budget,100,0.65,0.65,0.0,0.199,0.65,0.0,0.2,True,32,0.5,
2025-08-25 15:41:26,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,0,0.55,0.55,0.0,0.1663,0.55,0.0,0.1663,False,,,
2025-08-25 15:44:53,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,10,0.7,0.7,0.0,0.1976,0.7,0.0,0.2054,False,,,
2025-08-25 15:48:19,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,20,0.7,0.7,0.0,0.2641,0.7,0.0,0.2904,False,,,
2025-08-25 15:51:50,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,30,0.7,0.7,0.0,0.2473,0.7,0.0,0.2736,False,,,
2025-08-25 15:55:18,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,40,0.7,0.7,0.0,0.2505,0.7,0.0,0.273,False,,,
2025-08-25 15:58:51,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,50,0.7,0.7,0.0,0.2685,0.7,0.0,0.2707,False,,,
2025-08-25 16:02:23,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,60,0.7,0.7,0.0,0.2624,0.7,0.0,0.2882,False,,,
2025-08-25 16:05:57,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,70,0.7,0.7,0.0,0.2807,0.7,0.0,0.2822,False,,,
2025-08-25 16:09:32,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,80,0.7,0.7,0.0,0.2789,0.7,0.0,0.282,False,,,
2025-08-25 16:13:10,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,90,0.7,0.7,0.0,0.2895,0.7,0.0,0.2898,False,,,
2025-08-25 16:16:47,e2zys3l4,grateful-haze-204--checkpoint:v2,2,gradient_ascent,budget,100,0.7,0.7,0.0,0.2924,0.7,0.0,0.2924,False,,,
2025-08-25 16:19:39,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,0,0.55,0.55,0.0,0.1121,0.55,0.0,0.1121,True,32,0.5,
2025-08-25 16:23:05,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,10,0.55,0.55,0.0,0.111,0.55,0.0,0.1118,True,32,0.5,
2025-08-25 16:26:39,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,20,0.55,0.55,0.0,0.1117,0.55,0.0,0.1117,True,32,0.5,
2025-08-25 16:30:22,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,30,0.55,0.55,0.0,0.1124,0.55,0.0,0.1125,True,32,0.5,
2025-08-25 16:34:17,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,40,0.55,0.55,0.0,0.1162,0.55,0.0,0.1162,True,32,0.5,
2025-08-25 16:38:28,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,50,0.6,0.6,0.0,0.1323,0.6,0.0,0.1363,True,32,0.5,
2025-08-25 16:42:34,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,60,0.6,0.6,0.0,0.1365,0.6,0.0,0.1372,True,32,0.5,
2025-08-25 16:46:53,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,70,0.6,0.6,0.0,0.1324,0.6,0.0,0.1365,True,32,0.5,
2025-08-25 16:51:17,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,80,0.6,0.6,0.0,0.1311,0.6,0.0,0.1397,True,32,0.5,
2025-08-25 16:55:55,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,90,0.6,0.6,0.0,0.1317,0.6,0.0,0.1362,True,32,0.5,
2025-08-25 17:00:31,e2zys3l4,grateful-haze-204--checkpoint:v3,3,evolutionary_search,budget,100,0.6,0.6,0.0,0.1379,0.6,0.0,0.1394,True,32,0.5,
2025-08-25 17:02:54,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,0,0.55,0.55,0.0,0.1121,0.55,0.0,0.1121,False,,,
2025-08-25 17:06:18,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,10,0.6,0.6,0.0,0.1275,0.6,0.0,0.1285,False,,,
2025-08-25 17:09:46,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,20,0.65,0.65,0.0,0.1271,0.65,0.0,0.1271,False,,,
2025-08-25 17:13:18,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,30,0.65,0.65,0.0,0.1277,0.65,0.0,0.1277,False,,,
2025-08-25 17:16:48,e2zys3l4,grateful-haze-204--checkpoint:v3,3,gradient_ascent,budget,40,0.7,0.7,0.0,0.1627,0.7,0.0,0.1627,False,,,
